Date,Expiry,Option type,Strike Price,Open,High,Low,Close,No. of contracts,Open Int,Change in OI,Underlying Value,iv,Date_c,Expiry_c,Strike Price c,Open_c,High_c,Low_c,Close_c,No. of contracts c,Open Int c,Change in OI c,SAME,ATM
3072023,6072023,PE,44700,188.1,190.7,71.2,87.65,1419239,1948125,136675,45158.1,458.1,3072023,6072023,44700,301.1,752,283.2,545.95,447375,428525,-837200,0,0
3072023,6072023,PE,44800,200,233.9,86.55,106.95,1752119,1625350,384500,45158.1,358.1,3072023,6072023,44800,215,670.5,215,466.15,876045,529400,-1871475,0,0
3072023,6072023,PE,44900,210.05,286.55,105.45,131.3,1807379,1136500,662425,45158.1,258.1,3072023,6072023,44900,169,592.25,169,389.55,1285314,477500,-621475,0,0
3072023,6072023,PE,45000,263.35,346.25,130.25,162.25,4469609,3246250,2721925,45158.1,158.1,3072023,6072023,45000,159.75,516.7,140,320.15,4106234,1626150,-816675,0,0
3072023,6072023,PE,45100,358.25,410.95,160.45,199.7,2693718,1328825,1206850,45158.1,58.1,3072023,6072023,45100,127,446.7,105.75,257.5,3507374,1283425,327925,0,0
3072023,6072023,PE,45200,421.65,485.15,197.2,245.5,3492281,1592025,1527575,45158.1,41.9,3072023,6072023,45200,88.95,382.25,78.75,203.65,5325154,2665625,1628100,0,1
3072023,6072023,PE,45300,475.85,563.6,242.15,299.9,2196592,672250,649650,45158.1,141.9,3072023,6072023,45300,79.9,323,56.1,158.05,4174785,2211825,1389250,0,0
3072023,6072023,PE,45400,551.5,639.6,294.2,361.5,776986,347975,332250,45158.1,241.9,3072023,6072023,45400,47.5,270,40.7,119.8,2609319,1630125,965300,0,0
3072023,6072023,PE,45500,671.05,754.2,354.95,431.95,759238,352225,294325,45158.1,341.9,3072023,6072023,45500,34.85,223.85,30.55,89.65,3741979,2543075,812325,0,0
3072023,6072023,PE,45600,785,820.45,422.55,506.8,126273,115050,111100,45158.1,441.9,3072023,6072023,45600,24.95,183.5,21.7,66.2,1971959,1033075,320875,0,0
3072023,6072023,PE,45700,887.6,900.8,495.6,590.25,49196,58300,55250,45158.1,541.9,3072023,6072023,45700,22,149,16.15,48.95,1732892,1128075,547500,0,0
3072023,13072023,PE,44700,285.2,318.8,178.35,204.8,20271,119075,36225,45158.1,458.1,3072023,13072023,44700,450.05,858.75,410,679.8,7288,51825,-23950,0,0
3072023,13072023,PE,44800,351.1,370.75,203.15,232.6,19605,97750,61675,45158.1,358.1,3072023,13072023,44800,402.05,786.9,380,609.9,11074,34700,-11900,0,0
3072023,13072023,PE,44900,370,415.65,231.9,264.45,16164,54025,44300,45158.1,258.1,3072023,13072023,44900,357.95,720,327.65,538.75,12268,25250,875,0,0
3072023,13072023,PE,45000,454.7,474.3,262.05,299.85,81052,393850,332600,45158.1,158.1,3072023,13072023,45000,292.2,650.9,279.75,475.25,66210,270200,136125,0,0
3072023,13072023,PE,45100,489.45,521.1,300.15,343.7,31552,181450,174500,45158.1,58.1,3072023,13072023,45100,275.05,584.4,240.1,419.2,33314,123800,90150,0,0
3072023,13072023,PE,45200,570.3,576.2,339.95,388.7,36764,106750,102175,45158.1,41.9,3072023,13072023,45200,217.95,526.65,201,365.35,49444,144825,80725,0,1
3072023,13072023,PE,45300,625,625,384.8,437.45,20890,41450,36200,45158.1,141.9,3072023,13072023,45300,183.4,469.15,174.45,315,44981,134150,103075,0,0
3072023,13072023,PE,45400,727.75,727.75,433.05,492.1,5646,19675,19225,45158.1,241.9,3072023,13072023,45400,152.95,414.7,138.1,269.85,24108,69325,49250,0,0
3072023,13072023,PE,45500,785.95,785.95,486.1,548.8,15301,50750,44600,45158.1,341.9,3072023,13072023,45500,110,366.75,110,224,69212,295650,127700,0,0
3072023,13072023,PE,45600,750.6,750.6,550,616.85,2155,10050,9625,45158.1,441.9,3072023,13072023,45600,99.4,320.05,82.65,190.35,20771,54800,4225,0,0
3072023,13072023,PE,45700,830,830,614.9,675.25,908,2950,2650,45158.1,541.9,3072023,13072023,45700,80.85,279.1,80.8,159.2,23850,65500,27450,0,0
3072023,20072023,PE,44700,398,398,266.1,296.1,535,3550,1525,45158.1,458.1,3072023,20072023,44700,613.55,949.35,613.5,785.3,200,1775,525,0,0
3072023,20072023,PE,44800,324.4,360,301.85,335.15,48,875,875,45158.1,358.1,3072023,20072023,44800,681.8,862.75,681.8,727.4,92,1100,1100,0,0
3072023,20072023,PE,44900,378.85,408,336.3,359.2,136,1675,1675,45158.1,258.1,3072023,20072023,44900,685.25,816.45,639.2,652.6,152,475,475,0,0
3072023,20072023,PE,45000,575.05,575.05,356.8,402.55,2308,18675,15200,45158.1,158.1,3072023,20072023,45000,534.55,757.2,534.55,599.45,744,4950,4950,0,0
3072023,20072023,PE,45100,489.55,491,404,443.25,209,1700,1675,45158.1,58.1,3072023,20072023,45100,561.55,716.55,441.5,544.45,204,1325,1325,0,0
3072023,20072023,PE,45200,858.1,858.1,449,488.85,295,3050,3025,45158.1,41.9,3072023,20072023,45200,589.3,606.75,458.85,501.8,332,3550,3550,0,1
3072023,20072023,PE,45300,518.8,605.15,490,534.95,428,2600,2575,45158.1,141.9,3072023,20072023,45300,559.35,560,414,433.4,113,625,625,0,0
3072023,20072023,PE,45400,567.75,612,543.85,593.95,56,1025,1025,45158.1,241.9,3072023,20072023,45400,530.5,530.5,377.8,398.65,76,1050,1050,0,0
3072023,20072023,PE,45500,774.3,774.3,583.1,634.6,178,1225,1225,45158.1,341.9,3072023,20072023,45500,398.4,466.3,326.35,348.5,655,4275,4275,0,0
3072023,20072023,PE,45600,803.95,803.95,662.45,672.2,9,175,175,45158.1,441.9,3072023,20072023,45600,175,428.2,175,303.35,601,1575,1375,0,0
3072023,20072023,PE,45700,929.6,929.6,887.5,887.5,8,200,200,45158.1,541.9,3072023,20072023,45700,449.85,449.85,241.05,263,209,1825,1825,0,0
3072023,27072023,PE,44700,480,500,246.8,352.25,18552,97275,25275,45158.1,458.1,3072023,27072023,44700,694,1078,675.3,919.1,10019,47535,-14730,0,0
3072023,27072023,PE,44800,505.15,507,364.4,395.1,9643,53925,11220,45158.1,358.1,3072023,27072023,44800,660.05,1013.3,623,849.6,9079,51765,-12135,0,0
3072023,27072023,PE,44900,560.2,585.6,397.05,431.15,7298,27225,18240,45158.1,258.1,3072023,27072023,44900,600,945.45,580,787.85,6936,25140,-3645,0,0
3072023,27072023,PE,45000,599.95,619.05,432.5,469.25,83892,373995,183705,45158.1,158.1,3072023,27072023,45000,498,885,498,723.2,88010,575085,-48045,0,0
3072023,27072023,PE,45100,650.65,668,471.25,510.25,13517,33855,30825,45158.1,58.1,3072023,27072023,45100,487.9,822.5,487.85,667.15,15009,25815,13755,0,0
3072023,27072023,PE,45200,692.9,692.9,512,555.4,23986,49080,42885,45158.1,41.9,3072023,27072023,45200,443.35,760.7,419.55,607.55,26300,71460,36285,0,1
3072023,27072023,PE,45300,766.35,778.95,555.25,601.5,19771,66765,64905,45158.1,141.9,3072023,27072023,45300,399.6,705.9,390.55,560.05,24242,72765,36990,0,0
3072023,27072023,PE,45400,821,821,601.5,649.95,4649,12465,10530,45158.1,241.9,3072023,27072023,45400,365,649,365,507.75,13464,71775,22665,0,0
3072023,27072023,PE,45500,849.95,891.05,646,700.2,37815,123390,71010,45158.1,341.9,3072023,27072023,45500,310.05,594.75,300.05,457.8,79387,556980,33030,0,0
3072023,27072023,PE,45600,869.9,869.9,702.45,758.85,1264,5685,5175,45158.1,441.9,3072023,27072023,45600,289.1,545.7,287.15,415.3,5574,31395,1725,0,0
3072023,27072023,PE,45700,930.2,930.2,756.7,812.35,1066,5625,5175,45158.1,541.9,3072023,27072023,45700,263.95,495,260.3,377.35,5395,40725,-2640,0,0
3072023,31082023,PE,44700,688,688,600,634.25,200,3390,840,45158.1,458.1,3072023,31082023,44700,1210,1452.95,1023.1,1311.1,240,1395,-1005,0,0
3072023,31082023,PE,44800,724.55,724.55,627.4,668,228,1230,750,45158.1,358.1,3072023,31082023,44800,1362.55,1362.55,1248.45,1248.45,3,30,30,0,0
3072023,31082023,PE,44900,-,-,-,834.9,-,210,-,45158.1,258.1,3072023,31082023,44900,1282.35,1282.35,1162.1,1209.15,60,450,450,0,0
3072023,31082023,PE,45000,844.95,845,699.95,740.55,6375,68325,18660,45158.1,158.1,3072023,31082023,45000,930.65,1272.55,930.65,1132.2,4727,64335,8355,0,0
3072023,31082023,PE,45100,836,836,745,770.45,90,945,825,45158.1,58.1,3072023,31082023,45100,1157.2,1260.05,1038.8,1093.35,49,585,585,0,0
3072023,31082023,PE,45200,830.55,1600,783,812.35,165,1470,1185,45158.1,41.9,3072023,31082023,45200,1125.4,1125.4,964.7,1033.8,11,90,90,0,1
3072023,31082023,PE,45300,852.15,910,827.15,827.15,64,645,465,45158.1,141.9,3072023,31082023,45300,1094.3,1094.3,956,956,11,120,120,0,0
3072023,31082023,PE,45400,862.35,942.85,862.35,905.8,18,150,90,45158.1,241.9,3072023,31082023,45400,992.9,992.9,860.3,905,18,210,210,0,0
3072023,31082023,PE,45500,1241,1241,908.35,954,3725,34110,31620,45158.1,341.9,3072023,31082023,45500,699.85,984.75,650.85,857,5613,67785,11430,0,0
3072023,28092023,PE,45000,975,980.35,866,910.3,1110,14630,3980,45158.1,158.1,3072023,28092023,45000,1305.35,1589.5,1300,1472.7,766,23045,2250,0,0
3072023,28092023,PE,45200,1371.25,1371.25,1000,1050,6,75,75,45158.1,41.9,3072023,28092023,45200,2217.8,2217.8,1500,1500,2,15,15,0,1
4072023,6072023,PE,44800,89.95,142.1,50.65,57.25,1881793,2428300,802950,45301.45,501.45,4072023,6072023,44800,515.95,926.9,355.7,549.95,269918,374650,-154750,0,0
4072023,6072023,PE,44900,110,174.9,61.6,72.55,2030803,1294875,158375,45301.45,401.45,4072023,6072023,44900,411.5,835,288,465.3,546786,345075,-132425,0,0
4072023,6072023,PE,45000,130,214.95,72.8,92.9,4192230,3559050,312800,45301.45,301.45,4072023,6072023,45000,367,746.45,227.2,384.9,2399470,1266975,-359175,0,0
